"Symbol","Name","Exchange"
"AGNCM","AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock","NASDAQ"
"AGNCN","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","NASDAQ"
"AGNCO","AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","NASDAQ"
"AGNCP","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","NASDAQ"
"AGNG","Global X Aging Population ETF","NASDAQ"
"AGRX","Agile Therapeutics, Inc. - Common Stock","NASDAQ"
"AGTC","Applied Genetic Technologies Corporation - Common Stock","NASDAQ"
"AGYS","Agilysys, Inc. - Common Stock","NASDAQ"
"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","NASDAQ"
"AHAC","Alpha Healthcare Acquisition Corp. - Common Stock","NASDAQ"
"AHACU","Alpha Healthcare Acquisition Corp. - Unit","NASDAQ"
"AHACW","Alpha Healthcare Acquisition Corp. - Warrant","NASDAQ"
"AHCO","AdaptHealth Corp.  - Class A Common Stock","NASDAQ"
"AHPI","Allied Healthcare Products, Inc. - Common Stock","NASDAQ"
"AIA","iShares Asia 50 ETF","NASDAQ"
"AIH","Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares","NASDAQ"
"AIHS","Senmiao Technology Limited - Common Stock","NASDAQ"
"AIKI","AIkido Pharma Inc. - Common Stock","NASDAQ"
"AIMC","Altra Industrial Motion Corp. - Common Stock","NASDAQ"
"AINV","Apollo Investment Corporation - Closed End Fund","NASDAQ"
"AIQ","Global X Artificial Intelligence & Technology ETF","NASDAQ"
"AIRG","Airgain, Inc. - Common Stock","NASDAQ"
"AIRR","First Trust RBA American Industrial Renaissance ETF","NASDAQ"
"AIRT","Air T, Inc. - Common Stock","NASDAQ"
"AIRTP","Air T, Inc. - Trust Preferred Securities","NASDAQ"
"AIRTW","Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred","NASDAQ"
"AKAM","Akamai Technologies, Inc. - Common Stock","NASDAQ"
"AKBA","Akebia Therapeutics, Inc. - Common Stock","NASDAQ"
"AKIC","Sports Ventures Acquisition Corp. - Class A Ordinary Shares","NASDAQ"
"AKICU","Sports Ventures Acquisition Corp. - Unit","NASDAQ"
"AKICW","Sports Ventures Acquisition Corp. - Warrant","NASDAQ"
"AKRO","Akero Therapeutics, Inc. - Common Stock","NASDAQ"
"AKTS","Akoustis Technologies, Inc. - Common Stock","NASDAQ"
"AKTX","Akari Therapeutics Plc - American Depositary Shares","NASDAQ"
"AKU","Akumin Inc. - Common Shares","NASDAQ"
"AKUS","Akouos, Inc. - Common Stock","NASDAQ"
"AKYA","Akoya BioSciences, Inc. - Common Stock","NASDAQ"
"ALAC","Alberton Acquisition Corporation - Ordinary Shares","NASDAQ"
"ALACR","Alberton Acquisition Corporation - Rights","NASDAQ"
"ALACU","Alberton Acquisition Corporation - Unit","NASDAQ"
"ALACW","Alberton Acquisition Corporation - Warrant","NASDAQ"
"ALBO","Albireo Pharma, Inc. - Common Stock","NASDAQ"
"ALCO","Alico, Inc. - Common Stock","NASDAQ"
"ALDX","Aldeyra Therapeutics, Inc. - Common Stock","NASDAQ"
"ALEC","Alector, Inc. - Common Stock","NASDAQ"
"ALGM","Allegro MicroSystems, Inc. - Common Stock","NASDAQ"
"ALGN","Align Technology, Inc. - Common Stock","NASDAQ"
"ALGS","Aligos Therapeutics, Inc. - Common stock","NASDAQ"
"ALGT","Allegiant Travel Company - Common Stock","NASDAQ"
"ALHC","Alignment Healthcare, Inc. - Common Stock","NASDAQ"
"ALIM","Alimera Sciences, Inc. - Common Stock","NASDAQ"
"ALJJ","ALJ Regional Holdings, Inc. - Common Stock","NASDAQ"
"ALKS","Alkermes plc - Ordinary Shares","NASDAQ"
"ALKT","Alkami Technology, Inc. - Common Stock","NASDAQ"
"ALLK","Allakos Inc. - Common Stock","NASDAQ"
"ALLO","Allogene Therapeutics, Inc. - Common Stock","NASDAQ"
"ALLT","Allot Ltd. - Ordinary Shares","NASDAQ"
"ALNA","Allena Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ALNY","Alnylam Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ALOT","AstroNova, Inc. - Common Stock","NASDAQ"
"ALPN","Alpine Immune Sciences, Inc. - Common Stock","NASDAQ"
"ALRM","Alarm.com Holdings, Inc. - Common Stock","NASDAQ"
"ALRN","Aileron Therapeutics, Inc. - Common Stock","NASDAQ"
"ALRS","Alerus Financial Corporation - Common Stock","NASDAQ"
"ALSK","Alaska Communications Systems Group, Inc. - Common Stock","NASDAQ"
"ALT","Altimmune, Inc. - Common Stock","NASDAQ"
"ALTA","Altabancorp - Common Stock","NASDAQ"
"ALTM","Altus Midstream Company - Class A Common Stock","NASDAQ"
"ALTO","Alto Ingredients, Inc. - Common Stock","NASDAQ"
"ALTR","Altair Engineering Inc. - Class A Common Stock","NASDAQ"
"ALTU","Altitude Acquisition Corp. - Class A Common Stock","NASDAQ"
"ALTUU","Altitude Acquisition Corp. - Unit","NASDAQ"
"ALTUW","Altitude Acquisition Corp. - Warrant","NASDAQ"
"ALTY","Global X SuperDividend Alternatives ETF","NASDAQ"
"ALVR","AlloVir, Inc. - Common Stock","NASDAQ"
"ALXN","Alexion Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ALXO","ALX Oncology Holdings Inc. - Common Stock","NASDAQ"
"ALYA","Alithya Group inc. - Class A subordinate voting shares","NASDAQ"
"AMAL","Amalgamated Financial Corp. - Common Stock","NASDAQ"
"AMAOU","American Acquisition Opportunity Inc. - Units","NASDAQ"
"AMAT","Applied Materials, Inc. - Common Stock","NASDAQ"
"AMBA","Ambarella, Inc. - Ordinary Shares","NASDAQ"
"AMCA","iShares Russell 1000 Pure U.S. Revenue ETF","NASDAQ"
"AMCX","AMC Networks Inc. - Class A Common Stock","NASDAQ"
"AMD","Advanced Micro Devices, Inc. - Common Stock","NASDAQ"
"AMED","Amedisys Inc - Common Stock","NASDAQ"
"AMEH","Apollo Medical Holdings, Inc. - Common Stock","NASDAQ"
"AMGN","Amgen Inc. - Common Stock","NASDAQ"
"AMHC","Amplitude Healthcare Acquisition Corporation - Class A Common Stock","NASDAQ"
"AMHCU","Amplitude Healthcare Acquisition Corporation - Unit","NASDAQ"
"AMHCW","Amplitude Healthcare Acquisition Corporation - Warrant","NASDAQ"
"AMKR","Amkor Technology, Inc. - Common Stock","NASDAQ"
"AMNB","American National Bankshares, Inc. - Common Stock","NASDAQ"
"AMOT","Allied Motion Technologies, Inc. - Common Stock","NASDAQ"
"AMPG","Amplitech Group, Inc. - Common Stock","NASDAQ"
"AMPGW","Amplitech Group, Inc. - Warrants","NASDAQ"
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"AMRB","American River Bankshares - Common Stock","NASDAQ"
"AMRK","A-Mark Precious Metals, Inc. - Common Stock","NASDAQ"
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share","NASDAQ"
"AMRS","Amyris, Inc. - Common Stock","NASDAQ"
"AMSC","American Superconductor Corporation - Common Stock","NASDAQ"
"AMSF","AMERISAFE, Inc. - Common Stock","NASDAQ"
"AMST","Amesite Inc. - Common Stock","NASDAQ"
"AMSWA","American Software, Inc. - Class A Common Stock","NASDAQ"
"AMTB","Amerant Bancorp Inc. - Class A Common Stock","NASDAQ"
"AMTBB","Amerant Bancorp Inc. - Class B Common Stock","NASDAQ"
"AMTI","Applied Molecular Transport Inc. - common stock","NASDAQ"
"AMTX","Aemetis, Inc - Common Stock","NASDAQ"
"AMWD","American Woodmark Corporation - Common Stock","NASDAQ"
"AMYT","Amryt Pharma plc - American Depositary Shares","NASDAQ"
"AMZN","Amazon.com, Inc. - Common Stock","NASDAQ"
"ANAB","AnaptysBio, Inc. - Common Stock","NASDAQ"
"ANAT","American National Group, Inc. - Common Stock","NASDAQ"
"ANDA","Andina Acquisition Corp. III - Ordinary Shares","NASDAQ"
"ANDAR","Andina Acquisition Corp. III - Right","NASDAQ"
"ANDAU","Andina Acquisition Corp. III - Unit","NASDAQ"
"ANDAW","Andina Acquisition Corp. III - Warrant","NASDAQ"
"ANDE","The Andersons, Inc. - Common Stock","NASDAQ"
"ANGI","Angi Inc. - Class A Common Stock","NASDAQ"
"ANGL","VanEck Vectors Fallen Angel High Yield Bond ETF","NASDAQ"
"ANGN","Angion Biomedica Corp. - Common Stock","NASDAQ"
"ANGO","AngioDynamics, Inc. - Common Stock","NASDAQ"
"ANIK","Anika Therapeutics Inc. - Common Stock","NASDAQ"
"ANIP","ANI Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ANIX","Anixa Biosciences, Inc. - Common Stock","NASDAQ"
"ANNX","Annexon, Inc. - common stock","NASDAQ"
"ANPC","AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares","NASDAQ"
"ANSS","ANSYS, Inc. - Common Stock","NASDAQ"
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares","NASDAQ"
"ANY","Sphere 3D Corp. - Common Shares","NASDAQ"
"ANZU","Anzu Special Acquisition Corp I - Class A Common Stock","NASDAQ"
"ANZUU","Anzu Special Acquisition Corp I - Units","NASDAQ"
"ANZUW","Anzu Special Acquisition Corp I - Warrant","NASDAQ"
"AOSL","Alpha and Omega Semiconductor Limited - Common Shares","NASDAQ"
"AOUT","American Outdoor Brands, Inc. - Common Stock","NASDAQ"
"APA","APA Corporation - Common Stock","NASDAQ"
"APDN","Applied DNA Sciences, Inc. - Common Stock","NASDAQ"
"APEI","American Public Education, Inc. - Common Stock","NASDAQ"
"APEN","Apollo Endosurgery, Inc. - Common Stock","NASDAQ"
"APHA","Aphria Inc. - Common Shares","NASDAQ"
"API","Agora, Inc. - ADS","NASDAQ"
"APLS","Apellis Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"APLT","Applied Therapeutics, Inc. - Common Stock","NASDAQ"
"APM","Aptorum Group Limited - Class A Ordinary Shares","NASDAQ"
"APOG","Apogee Enterprises, Inc. - Common Stock","NASDAQ"
"APOP","Cellect Biotechnology Ltd. - American Depositary Shares","NASDAQ"
"APOPW","Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS)","NASDAQ"
"APP","Applovin Corporation - Class A Common Stock","NASDAQ"
"APPF","AppFolio, Inc. - Class A Common Stock","NASDAQ"
"APPH","AppHarvest, Inc. - Common Stock","NASDAQ"
"APPHW","AppHarvest, Inc. - Warrants","NASDAQ"
"APPN","Appian Corporation - Class A Common Stock","NASDAQ"
"APPS","Digital Turbine, Inc. - Common Stock","NASDAQ"
"APR","Apria, Inc. - Common Stock","NASDAQ"
"APRE","Aprea Therapeutics, Inc. - Common Stock","NASDAQ"
"APTO","Aptose Biosciences, Inc. - Common Shares","NASDAQ"
"APTX","Aptinyx Inc. - Common Stock","NASDAQ"
"APVO","Aptevo Therapeutics Inc. - Common Stock","NASDAQ"
"APWC","Asia Pacific Wire  - Common shares, Par value .01 per share","NASDAQ"
"APXT","Apex Technology Acquisition Corporation - Class A Common Stock","NASDAQ"
"APXTU","Apex Technology Acquisition Corporation - Unit","NASDAQ"
"APXTW","Apex Technology Acquisition Corporation - Warrant","NASDAQ"
"APYX","Apyx Medical Corporation - Common Stock","NASDAQ"
"AQB","AquaBounty Technologies, Inc. - Common Stock","NASDAQ"
"AQMS","Aqua Metals, Inc. - Common Stock","NASDAQ"
"AQST","Aquestive Therapeutics, Inc. - Common Stock","NASDAQ"
"AQWA","Global X Clean Water ETF","NASDAQ"
"ARAV","Aravive, Inc. - Common Stock","NASDAQ"
"ARAY","Accuray Incorporated - Common Stock","NASDAQ"
"ARBG","Aequi Acquisition Corp. - common stock","NASDAQ"
"ARBGU","Aequi Acquisition Corp. - Unit","NASDAQ"
"ARBGW","Aequi Acquisition Corp. - warrants","NASDAQ"
"ARCB","ArcBest Corporation - Common Stock","NASDAQ"
"ARCC","Ares Capital Corporation - Closed End Fund","NASDAQ"
"ARCE","Arco Platform Limited - Class A Common Shares","NASDAQ"
"ARCT","Arcturus Therapeutics Holdings Inc. - Common Stock","NASDAQ"
"ARDS","Aridis Pharmaceuticals Inc. - Common Stock","NASDAQ"
"ARDX","Ardelyx, Inc. - Common Stock","NASDAQ"
"AREC","American Resources Corporation - Class A Common Stock","NASDAQ"
"ARGX","argenx SE - American Depositary Shares","NASDAQ"
"ARKO","ARKO Corp. - Common Stock","NASDAQ"
"ARKOW","ARKO Corp. - Warrant","NASDAQ"
"ARKR","Ark Restaurants Corp. - Common Stock","NASDAQ"
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests","NASDAQ"
"ARNA","Arena Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"AROW","Arrow Financial Corporation - Common Stock","NASDAQ"
"ARPO","Aerpio Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ARQT","Arcutis Biotherapeutics, Inc. - Common stock","NASDAQ"
"ARRW","Arrowroot Acquisition Corp. - Class A common stock","NASDAQ"
"ARRWU","Arrowroot Acquisition Corp. - Unit","NASDAQ"
"ARRWW","Arrowroot Acquisition Corp. - Warrant","NASDAQ"
"ARRY","Array Technologies, Inc. - Common Stock","NASDAQ"
"ARTL","Artelo Biosciences, Inc. - Common Stock","NASDAQ"
"ARTLW","Artelo Biosciences, Inc. - Warrant","NASDAQ"
"ARTNA","Artesian Resources Corporation - Class A Non-Voting Common Stock","NASDAQ"
"ARTW","Art's-Way Manufacturing Co., Inc. - Common Stock","NASDAQ"
"ARVL","Arrival - Ordinary Shares","NASDAQ"
"ARVLW","Arrival - Warrant","NASDAQ"
"ARVN","Arvinas, Inc. - Common Stock","NASDAQ"
"ARWR","Arrowhead Pharmaceuticals, Inc. - Common Stock","NASDAQ"
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares","NASDAQ"
"ARYD","ARYA Sciences Acquisition Corp IV - Class A Ordinary Shares","NASDAQ"
"ASAX","Astrea Acquisition Corp. - Class A Common Stock","NASDAQ"
"ASAXU","Astrea Acquisition Corp. - Unit","NASDAQ"
"ASAXW","Astrea Acquisition Corp. - Warrant","NASDAQ"
"ASET","FlexShares Real Assets Allocation Index Fund","NASDAQ"
"ASLE","AerSale Corporation - Common Stock","NASDAQ"
"ASLEW","AerSale Corporation - Warrants","NASDAQ"
"ASLN","ASLAN Pharmaceuticals Limited - American Depositary Shares","NASDAQ"
"ASMB","Assembly Biosciences, Inc. - Common Stock","NASDAQ"
"ASML","ASML Holding N.V. - New York Registry Shares","NASDAQ"
"ASND","Ascendis Pharma A/S - American Depositary Shares","NASDAQ"
"ASO","Academy Sports and Outdoors, Inc. - Common Stock","NASDAQ"
"ASPC","Alpha Capital Acquisition Company - One Class A Ordinary Share","NASDAQ"
"ASPCU","Alpha Capital Acquisition Company - Unit","NASDAQ"
"ASPCW","Alpha Capital Acquisition Company - Warrant","NASDAQ"
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock","NASDAQ"
"ASPU","Aspen Group Inc. - Common Stock","NASDAQ"
"ASRT","Assertio Holdings, Inc. - Common Stock","NASDAQ"
"ASRV","AmeriServ Financial Inc. - Common Stock","NASDAQ"
"ASRVP","AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A","NASDAQ"
"ASTC","Astrotech Corporation - Common Stock","NASDAQ"
"ASTE","Astec Industries, Inc. - Common Stock","NASDAQ"
"ASTS","AST SpaceMobile, Inc. - Class A Common Stock","NASDAQ"
"ASTSW","AST SpaceMobile, Inc. - Warrant","NASDAQ"
"ASUR","Asure Software Inc - Common Stock","NASDAQ"
"ASYS","Amtech Systems, Inc. - Common Stock","NASDAQ"
"ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests","NASDAQ"
"ATCX","Atlas Technical Consultants, Inc. - Class A Common Stock","NASDAQ"
"ATEC","Alphatec Holdings, Inc. - Common Stock","NASDAQ"
"ATEX","Anterix Inc. - Common Stock","NASDAQ"
"ATHA","Athira Pharma, Inc. - Common Stock","NASDAQ"
"ATHE","Alterity Therapeutics Limited - American Depositary Shares","NASDAQ"
"ATHX","Athersys, Inc. - Common Stock","NASDAQ"
"ATIF","ATIF Holdings Limited - Ordinary Shares","NASDAQ"
"ATLC","Atlanticus Holdings Corporation - Common Stock","NASDAQ"
"ATLO","Ames National Corporation - Common Stock","NASDAQ"
"ATNF","180 Life Sciences Corp. - Common Stock","NASDAQ"
"ATNFW","180 Life Sciences Corp. - Warrant","NASDAQ"
"ATNI","ATN International, Inc. - Common Stock","NASDAQ"
"ATNX","Athenex, Inc. - Common Stock","NASDAQ"
"ATOM","Atomera Incorporated - Common Stock","NASDAQ"
"ATOS","Atossa Therapeutics, Inc. - Common Stock","NASDAQ"
"ATRA","Atara Biotherapeutics, Inc. - Common Stock","NASDAQ"
"ATRC","AtriCure, Inc. - Common Stock","NASDAQ"
"ATRI","Atrion Corporation - Common Stock","NASDAQ"
"ATRO","Astronics Corporation - Common Stock","NASDAQ"
"ATRS","Antares Pharma, Inc. - Common Stock","NASDAQ"
"ATSG","Air Transport Services Group, Inc - Common Stock","NASDAQ"
"ATSPT","Archimedes Tech SPAC Partners Co. - Subunit","NASDAQ"
"ATSPU","Archimedes Tech SPAC Partners Co. - Unit","NASDAQ"
"ATSPW","Archimedes Tech SPAC Partners Co. - Warrant","NASDAQ"
"ATVCU","Tribe Capital Growth Corp I - Units","NASDAQ"
"ATVI","Activision Blizzard, Inc - Common Stock","NASDAQ"
"ATXI","Avenue Therapeutics, Inc. - Common Stock","NASDAQ"
"AUB","Atlantic Union Bankshares Corporation - Common Stock","NASDAQ"
"AUBAP","Atlantic Union Bankshares Corporation - Depositary Shares each representing a 1/400th ownership interest in a share of 6.875%Perpetual Non-Cumulative Preferred Stock, Series A","NASDAQ"
